Description,type,patient,period,is_other_cell,is_CD4_T_cell,is_CD8_T_cell,is_B_cell,is_myeloid_cell,is_proinflammatory_factor,Response,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,RF,tpm,contactCount,atac_count,id
GSE21927_SPLENIC_VS_TUMOR_MONOCYTES_FROM_C26GM_TUMOROUS_MICE_BALBC_DN,ART_untreat,ART,untreat,0,0,0,0,1,0,1,0.0630630630630631,0.00927183329431047,7.97e-05,0.04013833,0.038373314,54850/80208/23774/79663/6872/9611/23499,7,6.8015743015743,23.2583328976536,29.4742536651625,693,223
GSE22886_NAIVE_CD8_TCELL_VS_NKCELL_UP,ART_untreat,ART,untreat,1,0,1,0,0,0,2,0.0630630630630631,0.00927183329431047,7.97e-05,0.04013833,0.038373314,1265/104/54476/2926/22955/9882/7326,7,6.8015743015743,33.0359172762412,35.0943732878054,668,224
GSE3982_EOSINOPHIL_VS_BASOPHIL_DN,ART_untreat,ART,untreat,1,0,0,0,0,0,1,0.0630630630630631,0.00927183329431047,7.97e-05,0.04013833,0.038373314,10664/64784/84316/9611/157680/51/6599,7,6.8015743015743,10.2094554780802,28.2827660551063,563,225
GSE9988_ANTI_TREM1_VS_CTRL_TREATED_MONOCYTES_DN,ART_untreat,ART,untreat,0,0,0,0,1,0,1,0.0720720720720721,0.00936548817607118,9.96e-06,0.018831217,0.018003145,10664/64784/4297/89846/9960/9611/51/3454,8,7.69549549549549,24.2331902830013,28.0152883866409,472,226
GSE10147_IL3_VS_IL3_AND_HIVP17_STIM_PDC_UP,EC_long,EC,long,0,1,0,0,0,0,2,0.0681818181818182,0.00777335518613908,6.45e-05,0.020030632,0.017275338,9742/79932/114804/57521/27327/9690,6,8.77122124863089,0.303820149278414,45.556039087013,1059,227
GSE11057_NAIVE_CD4_VS_PBMC_CD4_TCELL_UP,EC_long,EC,long,0,1,0,0,0,0,2,0.0681818181818182,0.00922500585343011,0.000165175,0.025304747,0.021823977,23370/171023/51466/113791/23731/55628,6,7.39097831102907,9.06235602949921,49.0959179216747,660,228
GSE12845_IGD_NEG_BLOOD_VS_NAIVE_TONSIL_BCELL_DN,EC_long,EC,long,0,0,0,1,0,0,1,0.0909090909090909,0.00922500585343011,1.56e-06,0.001302624,0.001123443,56894/29123/54934/22992/55671/9135/27340/90338,8,9.85463774803876,1.04747591331516,36.6258153414322,755,229
GSE13411_IGM_MEMORY_BCELL_VS_PLASMA_CELL_UP,EC_long,EC,long,0,0,0,1,0,1,2,0.0681818181818182,0.00927183329431047,0.000169779,0.025304747,0.021823977,55114/60468/9844/51466/3117/80264,6,7.35365013774105,0.689160553960993,27.9794635765202,661,230
GSE13738_RESTING_VS_TCR_ACTIVATED_CD4_TCELL_UP,EC_long,EC,long,0,1,0,0,0,0,2,0.0681818181818182,0.0091313509716694,0.000156263,0.025304747,0.021823977,321/58508/113791/11329/90338/59348,6,7.46678321678322,9.6157849532264,22.9177172436217,411,231
GSE16385_ROSIGLITAZONE_IL4_VS_IFNG_TNF_STIM_MACROPHAGE_UP,EC_long,EC,long,0,0,0,0,1,0,2,0.0795454545454545,0.00936548817607118,1.9e-05,0.00738412,0.006368404,171023/60468/1387/22992/4753/113791/8675,7,8.49346590909091,8.24859563693539,32.9558335666242,667,232
GSE16450_CTRL_VS_IFNA_12H_STIM_IMMATURE_NEURON_CELL_LINE_UP,EC_long,EC,long,1,0,0,0,0,1,2,0.0681818181818182,0.00922500585343011,0.000165175,0.025304747,0.021823977,171023/9873/4763/5116/27327/55628,6,7.39097831102907,0.48561662809988,52.8993298783515,748,233
GSE17301_ACD3_ACD28_VS_ACD3_ACD28_AND_IFNA2_STIM_CD8_TCELL_DN,EC_long,EC,long,0,0,1,0,0,1,1,0.0681818181818182,0.00936548817607118,0.000179293,0.025304747,0.021823977,55114/1387/10807/4753/10782/80345,6,7.28011363636364,0.812974992159851,34.8449565429674,259,234
GSE17301_IFNA2_VS_IFNA2_AND_ACD3_ACD28_STIM_CD8_TCELL_UP,EC_long,EC,long,0,0,1,0,0,1,2,0.0681818181818182,0.00936548817607118,0.000179293,0.025304747,0.021823977,55114/1387/10807/4753/10782/80345,6,7.28011363636364,0.812974992159851,34.8449565429674,259,235
GSE20715_0H_VS_24H_OZONE_LUNG_UP,EC_long,EC,long,0,0,0,0,0,0,2,0.0681818181818182,0.00936548817607118,0.000179293,0.025304747,0.021823977,60468/51466/4542/55690/10743/9202,6,7.28011363636364,0.818557748363945,30.5752968437098,736,236
GSE21033_1H_VS_24H_POLYIC_STIM_DC_UP,EC_long,EC,long,0,0,0,0,1,0,2,0.0681818181818182,0.0075392179817373,5.44e-05,0.018777448,0.016194535,57514/60468/64421/22853/10743/114804,6,9.04361942405421,0.381333049942996,24.8352441249176,577,237
GSE21063_3H_VS_16H_ANTI_IGM_STIM_BCELL_DN,EC_long,EC,long,0,0,0,1,0,1,1,0.0681818181818182,0.00922500585343011,0.000165175,0.025304747,0.021823977,545/1666/23085/79932/4753/9202,6,7.39097831102907,0.403675439558196,19.4914454491627,572,238
GSE21670_UNTREATED_VS_IL6_TREATED_CD4_TCELL_DN,EC_long,EC,long,0,1,0,0,0,1,1,0.0795454545454545,0.00936548817607118,1.9e-05,0.00738412,0.006368404,10807/51466/22992/55690/113791/5910/11329,7,8.49346590909091,8.84207600048109,34.8948263106171,533,239
GSE25088_WT_VS_STAT6_KO_MACROPHAGE_IL4_STIM_UP,EC_long,EC,long,0,0,0,0,1,1,2,0.0681818181818182,0.00931866073519082,0.000174485,0.025304747,0.021823977,1387/64421/22992/113791/90338/170960,6,7.3166971219735,8.93416135864222,37.7787154670558,412,240
GSE25123_CTRL_VS_IL4_AND_ROSIGLITAZONE_STIM_MACROPHAGE_UP,EC_long,EC,long,0,0,0,0,1,1,2,0.0681818181818182,0.00936548817607118,0.000179293,0.025304747,0.021823977,23085/51466/2885/4763/113791/55671,6,7.28011363636364,10.8132982183903,50.202933186024,706,241
GSE27241_WT_VS_RORGT_KO_TH17_POLARIZED_CD4_TCELL_TREATED_WITH_DIGOXIN_UP,EC_long,EC,long,0,1,0,0,0,0,2,0.102272727272727,0.00842893935846406,5.67e-08,0.000175978,0.000151771,171023/1387/23085/9873/55677/22992/58508/4763/23731,9,12.1335227272727,0.721989664556338,32.023787754097,887,242
GSE36476_CTRL_VS_TSST_ACT_72H_MEMORY_CD4_TCELL_YOUNG_UP,EC_long,EC,long,0,1,0,0,0,0,2,0.0681818181818182,0.00927183329431047,0.000169779,0.025304747,0.021823977,321/23370/1387/54934/113791/55671,6,7.35365013774105,9.11369701460774,43.1185063750029,498,243
GSE369_IFNG_KO_VS_WT_LIVER_UP,EC_long,EC,long,0,0,0,0,0,1,2,0.0909090909090909,0.00931866073519082,1.68e-06,0.001302624,0.001123443,60468/64421/221037/4926/143/10743/8675/23304,8,9.75559616263134,1.94683530836009,21.4913593201479,746,244
GSE40273_GATA1_KO_VS_WT_TREG_DN,EC_long,EC,long,1,0,0,0,0,0,1,0.102272727272727,0.00931866073519082,1.34e-07,0.000207797,0.000179214,29123/55114/23370/60468/9742/58508/55690/8675/9202,9,10.9750456829603,1.08847671905258,31.4017674322065,1216,245
GSE5503_MLN_DC_VS_PLN_DC_ACTIVATED_ALLOGENIC_TCELL_DN,EC_long,EC,long,1,0,0,0,1,0,1,0.0681818181818182,0.00936548817607118,0.000179293,0.025304747,0.021823977,171023/60468/1387/7799/114804/27327,6,7.28011363636364,0.817151910286778,43.0876419684627,634,246
NAKAYA_B_CELL_FLUARIX_FLUVIRIN_AGE_18_50YO_7DY_DN,EC_long,EC,long,0,0,0,1,0,0,1,0.102272727272727,0.0137672676188246,3.47e-06,0.002154291,0.001857959,29123/60468/64421/9844/4255/4763/5116/23013/63893,9,7.42868738404453,0.607486160125183,46.7644175955308,1389,247
NAKAYA_PBMC_FLUARIX_FLUVIRIN_AGE_18_50YO_3DY_DN,EC_long,EC,long,0,0,0,0,1,0,1,0.113636363636364,0.0202762819011941,1.17e-05,0.006037087,0.005206661,29123/321/171023/221037/54934/22992/113791/7799/10782/80264,10,5.60439848834768,6.09686389454423,28.9537774642957,1181,248
